GeneID,Pseudo_bulk_expression
of RNA biosynthetic process,
Pyap00480,0.2450634708
Pyap00481,0.0018819639999999999
Pyap00482,4.23899722
Pyap00483,0.00025718800000000005
Pyap00484,0.1488667472
Pyap00485,0.3522442998
Pyap00486,0.0013431710000000002
Pyap00487,0.2602010848
Pyap00488,0.020740896
Pyap00489,0.6068185386
Pyap00490,0.0005548466
Pyap00491,0.0009210314
Pyap00492,0.5957357116
Pyap00493,0.514547361
Pyap00494,0.0066567910000000004
Pyap00495,0.0063181078
Pyap00496,0.6148930018
Pyap00497,0.0021761588
Pyap00498,3.0046323598000004
Pyap00499,0.764573749
Pyap00500,0.0326427348
Pyap00501,0.10975697919999998
Pyap00502,1.4001533112
Pyap00503,0.6992451470000001
Pyap00504,0.0013230972000000001
Pyap00505,0.029545299000000004
Pyap00506,0.0076547322
Pyap00507,0.9252998978000001
Pyap00508,0.201019573
Pyap00509,0.011025233200000002
Pyap00510,0.22431663699999996
Pyap00511,0.2031265742
Pyap00512,0.07162288719999998
Pyap00513,3.9450726562
Pyap00514,0.0012265586000000002
Pyap00515,0.21347124759999997
Pyap00516,1.0129521164
Pyap00517,0.40967968500000007
Pyap00518,0.0101404376
Pyap00519,0.44662659699999996
Pyap00520,0.0455462588
Pyap00521,0.0
Pyap00522,0.255099635
Pyap00523,0.0522731642
Pyap00524,0.0006434576
Pyap00525,0.2233180494
Pyap00526,0.0079215912
Pyap00527,0.0007603686
Pyap00528,1.394e-05
Pyap00529,1.4549055392
Pyap00530,0.9145989743999999
Pyap00531,0.00019422879999999999
Pyap00532,1.2280000000000001e-05
Pyap00533,1.7978503128
Pyap00534,0.3971241484
Pyap00535,0.17762647920000002
Pyap00536,0.0594257802
Pyap00537,0.9411515509999999
Pyap00538,2.7867790726000004
Pyap00539,0.7534390954000001
Pyap00540,0.293897982
Pyap00541,0.34137883440000005
Pyap00542,0.00014867979999999998
Pyap00543,0.0
Pyap00544,0.0024247774
Pyap00545,0.0023715398
Pyap00546,0.00044646160000000004
